Wiki,Metric,Sub-Metric,Editors,Values,Retrieval-Date
Amharic (am),Pages,Non-Articles,Bots,14927,2023-08-01
Amharic (am),Pages,Non-Articles,Humans,7934,2023-08-01
Amharic (am),Edits,Articles,Bots,6,2023-08-01
Amharic (am),Edits,Articles,Humans,241,2023-08-01
Amharic (am),Edits,Non-Articles,Bots,4,2023-08-01
Amharic (am),Edits,Non-Articles,Humans,88,2023-08-01
Amis (ami),Pages,Articles,Bots,0,2023-08-01
Amis (ami),Pages,Articles,Humans,1656,2023-08-01
Amis (ami),Pages,Non-Articles,Bots,2,2023-08-01
Amis (ami),Pages,Non-Articles,Humans,161,2023-08-01
Amis (ami),Edits,Articles,Bots,0,2023-08-01
Amis (ami),Edits,Articles,Humans,116,2023-08-01
Amis (ami),Edits,Non-Articles,Bots,0,2023-08-01
Amis (ami),Edits,Non-Articles,Humans,3,2023-08-01
Angika (anp),Pages,Articles,Bots,0,2023-08-01
Angika (anp),Pages,Articles,Humans,0,2023-08-01
Angika (anp),Pages,Non-Articles,Bots,0,2023-08-01
Angika (anp),Pages,Non-Articles,Humans,0,2023-08-01
Angika (anp),Edits,Articles,Bots,0,2023-08-01
Angika (anp),Edits,Articles,Humans,0,2023-08-01
Angika (anp),Edits,Non-Articles,Bots,0,2023-08-01
Angika (anp),Edits,Non-Articles,Humans,0,2023-08-01
Arabic (ar),Pages,Articles,Bots,480264,2023-08-01
Arabic (ar),Pages,Articles,Humans,732998,2023-08-01
Arabic (ar),Pages,Non-Articles,Bots,4115743,2023-08-01
Arabic (ar),Pages,Non-Articles,Humans,1736118,2023-08-01
Arabic (ar),Edits,Articles,Bots,158566,2023-08-01
Arabic (ar),Edits,Articles,Humans,75325,2023-08-01
Arabic (ar),Edits,Non-Articles,Bots,248924,2023-08-01
Arabic (ar),Edits,Non-Articles,Humans,32626,2023-08-01
Aragonese (an),Pages,Articles,Bots,4233,2023-08-01
Aragonese (an),Pages,Articles,Humans,39764,2023-08-01
Aragonese (an),Pages,Non-Articles,Bots,3136,2023-08-01
Aragonese (an),Pages,Non-Articles,Humans,53693,2023-08-01
Aragonese (an),Edits,Articles,Bots,3429,2023-08-01
Aragonese (an),Edits,Articles,Humans,5480,2023-08-01
Aragonese (an),Edits,Non-Articles,Bots,97,2023-08-01
Aragonese (an),Edits,Non-Articles,Humans,1994,2023-08-01
Aramaic (Syriac) (arc),Pages,Articles,Bots,0,2023-08-01
Aramaic (Syriac) (arc),Pages,Articles,Humans,1930,2023-08-01
Aramaic (Syriac) (arc),Pages,Non-Articles,Bots,275,2023-08-01
Aramaic (Syriac) (arc),Pages,Non-Articles,Humans,2239,2023-08-01
Aramaic (Syriac) (arc),Edits,Articles,Bots,0,2023-08-01
Aramaic (Syriac) (arc),Edits,Articles,Humans,55,2023-08-01
Aramaic (Syriac) (arc),Edits,Non-Articles,Bots,2,2023-08-01
Aramaic (Syriac) (arc),Edits,Non-Articles,Humans,3,2023-08-01
Armenian (hy),Pages,Articles,Bots,68495,2023-08-01
Armenian (hy),Pages,Articles,Humans,231599,2023-08-01
Armenian (hy),Pages,Non-Articles,Bots,57155,2023-08-01
Armenian (hy),Pages,Non-Articles,Humans,282965,2023-08-01
Armenian (hy),Edits,Articles,Bots,5466,2023-08-01
Armenian (hy),Edits,Articles,Humans,14489,2023-08-01
Armenian (hy),Edits,Non-Articles,Bots,1123,2023-08-01
Armenian (hy),Edits,Non-Articles,Humans,10644,2023-08-01
Aromanian (roa-rup),Pages,Articles,Bots,0,2023-08-01
Aromanian (roa-rup),Pages,Articles,Humans,1414,2023-08-01
Aromanian (roa-rup),Pages,Non-Articles,Bots,283,2023-08-01
Aromanian (roa-rup),Pages,Non-Articles,Humans,1936,2023-08-01
Aromanian (roa-rup),Edits,Articles,Bots,0,2023-08-01
Aromanian (roa-rup),Edits,Articles,Humans,15,2023-08-01
Aromanian (roa-rup),Edits,Non-Articles,Bots,2,2023-08-01
Aromanian (roa-rup),Edits,Non-Articles,Humans,35,2023-08-01
Assamese (as),Pages,Articles,Bots,0,2023-08-01
Assamese (as),Pages,Articles,Humans,12093,2023-08-01
Assamese (as),Pages,Non-Articles,Bots,16932,2023-08-01
Assamese (as),Pages,Non-Articles,Humans,34480,2023-08-01
Assamese (as),Edits,Articles,Bots,11,2023-08-01
Assamese (as),Edits,Articles,Humans,1597,2023-08-01
Assamese (as),Edits,Non-Articles,Bots,347,2023-08-01
Assamese (as),Edits,Non-Articles,Humans,483,2023-08-01
Asturian (ast),Pages,Articles,Bots,94865,2023-08-01
Asturian (ast),Pages,Articles,Humans,38004,2023-08-01
Asturian (ast),Pages,Non-Articles,Bots,32145,2023-08-01
Asturian (ast),Pages,Non-Articles,Humans,45393,2023-08-01
Asturian (ast),Edits,Articles,Bots,10179,2023-08-01
Asturian (ast),Edits,Articles,Humans,4487,2023-08-01
Asturian (ast),Edits,Non-Articles,Bots,88,2023-08-01
Asturian (ast),Edits,Non-Articles,Humans,323,2023-08-01
Atayal (tay),Pages,Articles,Bots,0,2023-08-01
Atayal (tay),Pages,Articles,Humans,2712,2023-08-01
Atayal (tay),Pages,Non-Articles,Bots,4,2023-08-01
Atayal (tay),Pages,Non-Articles,Humans,192,2023-08-01
Atayal (tay),Edits,Articles,Bots,0,2023-08-01
Atayal (tay),Edits,Articles,Humans,19,2023-08-01
Atayal (tay),Edits,Non-Articles,Bots,0,2023-08-01
Atayal (tay),Edits,Non-Articles,Humans,3,2023-08-01
Atikamekw (atj),Pages,Articles,Bots,0,2023-08-01
Atikamekw (atj),Pages,Articles,Humans,1967,2023-08-01
Atikamekw (atj),Pages,Non-Articles,Bots,7,2023-08-01
Atikamekw (atj),Pages,Non-Articles,Humans,863,2023-08-01
Atikamekw (atj),Edits,Articles,Bots,0,2023-08-01
Atikamekw (atj),Edits,Articles,Humans,38,2023-08-01
Atikamekw (atj),Edits,Non-Articles,Bots,2,2023-08-01
Atikamekw (atj),Edits,Non-Articles,Humans,3,2023-08-01
Avar (av),Pages,Articles,Bots,154,2023-08-01
Avar (av),Pages,Articles,Humans,3269,2023-08-01
Avar (av),Pages,Non-Articles,Bots,560,2023-08-01
Avar (av),Pages,Non-Articles,Humans,9205,2023-08-01
Avar (av),Edits,Articles,Bots,64,2023-08-01
Avar (av),Edits,Articles,Humans,417,2023-08-01
Avar (av),Edits,Non-Articles,Bots,5,2023-08-01
Avar (av),Edits,Non-Articles,Humans,83,2023-08-01
Awadhi (awa),Pages,Articles,Bots,0,2023-08-01
Awadhi (awa),Pages,Articles,Humans,3712,2023-08-01
Awadhi (awa),Pages,Non-Articles,Bots,3,2023-08-01
Awadhi (awa),Pages,Non-Articles,Humans,1680,2023-08-01
Awadhi (awa),Edits,Articles,Bots,0,2023-08-01
Awadhi (awa),Edits,Articles,Humans,20,2023-08-01
Awadhi (awa),Edits,Non-Articles,Bots,0,2023-08-01
Awadhi (awa),Edits,Non-Articles,Humans,6,2023-08-01
Aymara (ay),Pages,Articles,Bots,0,2023-08-01
Aymara (ay),Pages,Articles,Humans,5349,2023-08-01
Aymara (ay),Pages,Non-Articles,Bots,311,2023-08-01
Aymara (ay),Pages,Non-Articles,Humans,2337,2023-08-01
Aymara (ay),Edits,Articles,Bots,0,2023-08-01
Aymara (ay),Edits,Articles,Humans,70,2023-08-01
Aymara (ay),Edits,Non-Articles,Bots,3,2023-08-01
Aymara (ay),Edits,Non-Articles,Humans,25,2023-08-01
Azerbaijani (az),Pages,Articles,Bots,2269,2023-08-01
Azerbaijani (az),Pages,Articles,Humans,193248,2023-08-01
Azerbaijani (az),Pages,Non-Articles,Bots,1969,2023-08-01
Azerbaijani (az),Pages,Non-Articles,Humans,270082,2023-08-01
Azerbaijani (az),Edits,Articles,Bots,3811,2023-08-01
Azerbaijani (az),Edits,Articles,Humans,28193,2023-08-01
Azerbaijani (az),Edits,Non-Articles,Bots,77,2023-08-01
Azerbaijani (az),Edits,Non-Articles,Humans,12392,2023-08-01
Balinese (ban),Pages,Articles,Bots,3,2023-08-01
Balinese (ban),Pages,Articles,Humans,19733,2023-08-01
Balinese (ban),Pages,Non-Articles,Bots,203,2023-08-01
Balinese (ban),Pages,Non-Articles,Humans,15551,2023-08-01
Balinese (ban),Edits,Articles,Bots,266,2023-08-01
Balinese (ban),Edits,Articles,Humans,1129,2023-08-01
Balinese (ban),Edits,Non-Articles,Bots,4,2023-08-01
Balinese (ban),Edits,Non-Articles,Humans,778,2023-08-01
Bambara (bm),Pages,Articles,Bots,0,2023-08-01
Bambara (bm),Pages,Articles,Humans,1235,2023-08-01
Bambara (bm),Pages,Non-Articles,Bots,220,2023-08-01
Bambara (bm),Pages,Non-Articles,Humans,1373,2023-08-01
Bambara (bm),Edits,Articles,Bots,0,2023-08-01
Bambara (bm),Edits,Articles,Humans,45,2023-08-01
Bambara (bm),Edits,Non-Articles,Bots,4,2023-08-01
Bambara (bm),Edits,Non-Articles,Humans,4,2023-08-01
Banjarese (bjn),Pages,Articles,Bots,0,2023-08-01
Banjarese (bjn),Pages,Articles,Humans,10485,2023-08-01
Banjarese (bjn),Pages,Non-Articles,Bots,312,2023-08-01
Banjarese (bjn),Pages,Non-Articles,Humans,16950,2023-08-01
Banjarese (bjn),Edits,Articles,Bots,5,2023-08-01
Banjarese (bjn),Edits,Articles,Humans,449,2023-08-01
Banjarese (bjn),Edits,Non-Articles,Bots,11,2023-08-01
Banjarese (bjn),Edits,Non-Articles,Humans,211,2023-08-01
Banyumasan (map-bms),Pages,Articles,Bots,7001,2023-08-01
Banyumasan (map-bms),Pages,Articles,Humans,7016,2023-08-01
Banyumasan (map-bms),Pages,Non-Articles,Bots,5649,2023-08-01
Banyumasan (map-bms),Pages,Non-Articles,Humans,8851,2023-08-01
Banyumasan (map-bms),Edits,Articles,Bots,0,2023-08-01
Banyumasan (map-bms),Edits,Articles,Humans,33,2023-08-01
Banyumasan (map-bms),Edits,Non-Articles,Bots,10,2023-08-01
Banyumasan (map-bms),Edits,Non-Articles,Humans,4,2023-08-01
Bashkir (ba),Pages,Articles,Bots,27977,2023-08-01
Bashkir (ba),Pages,Articles,Humans,35135,2023-08-01
Bashkir (ba),Pages,Non-Articles,Bots,22968,2023-08-01
Bashkir (ba),Pages,Non-Articles,Humans,66660,2023-08-01
Bashkir (ba),Edits,Articles,Bots,932,2023-08-01
Bashkir (ba),Edits,Articles,Humans,1889,2023-08-01
Bashkir (ba),Edits,Non-Articles,Bots,10,2023-08-01
Bashkir (ba),Edits,Non-Articles,Humans,390,2023-08-01
Basque (eu),Pages,Articles,Bots,204495,2023-08-01
Basque (eu),Pages,Articles,Humans,209454,2023-08-01
Basque (eu),Pages,Non-Articles,Bots,181001,2023-08-01
Basque (eu),Pages,Non-Articles,Humans,133174,2023-08-01
Basque (eu),Edits,Articles,Bots,741,2023-08-01
Basque (eu),Edits,Articles,Humans,15895,2023-08-01
Basque (eu),Edits,Non-Articles,Bots,1856,2023-08-01
Basque (eu),Edits,Non-Articles,Humans,3035,2023-08-01
Bavarian (bar),Pages,Articles,Bots,81,2023-08-01
Bavarian (bar),Pages,Articles,Humans,26949,2023-08-01
Bavarian (bar),Pages,Non-Articles,Bots,9839,2023-08-01
Bavarian (bar),Pages,Non-Articles,Humans,53314,2023-08-01
Bavarian (bar),Edits,Articles,Bots,35,2023-08-01
Bavarian (bar),Edits,Articles,Humans,215,2023-08-01
Bavarian (bar),Edits,Non-Articles,Bots,45,2023-08-01
Bavarian (bar),Edits,Non-Articles,Humans,70,2023-08-01
Belarusian (Taraškievica) (be-tarask),Pages,Articles,Bots,346,2023-08-01
Belarusian (Taraškievica) (be-tarask),Pages,Articles,Humans,83119,2023-08-01
Belarusian (Taraškievica) (be-tarask),Pages,Non-Articles,Bots,10857,2023-08-01
Belarusian (Taraškievica) (be-tarask),Pages,Non-Articles,Humans,102713,2023-08-01
Belarusian (Taraškievica) (be-tarask),Edits,Articles,Bots,731,2023-08-01
Belarusian (Taraškievica) (be-tarask),Edits,Articles,Humans,6098,2023-08-01
Belarusian (Taraškievica) (be-tarask),Edits,Non-Articles,Bots,43,2023-08-01
Belarusian (Taraškievica) (be-tarask),Edits,Non-Articles,Humans,2544,2023-08-01
Belarusian (be),Pages,Articles,Bots,50311,2023-08-01
Belarusian (be),Pages,Articles,Humans,183398,2023-08-01
Belarusian (be),Pages,Non-Articles,Bots,18364,2023-08-01
Belarusian (be),Pages,Non-Articles,Humans,149232,2023-08-01
Belarusian (be),Edits,Articles,Bots,4904,2023-08-01
Belarusian (be),Edits,Articles,Humans,14860,2023-08-01
Belarusian (be),Edits,Non-Articles,Bots,327,2023-08-01
Belarusian (be),Edits,Non-Articles,Humans,2496,2023-08-01
Bengali (bn),Pages,Articles,Bots,4530,2023-08-01
Bengali (bn),Pages,Articles,Humans,135649,2023-08-01
Bengali (bn),Pages,Non-Articles,Bots,459923,2023-08-01
Bengali (bn),Pages,Non-Articles,Humans,323769,2023-08-01
Bengali (bn),Edits,Articles,Bots,67354,2023-08-01
Bengali (bn),Edits,Articles,Humans,28548,2023-08-01
Bengali (bn),Edits,Non-Articles,Bots,20927,2023-08-01
Bengali (bn),Edits,Non-Articles,Humans,9179,2023-08-01
Bihari (Bhojpuri) (bh),Pages,Articles,Bots,1429,2023-08-01
Bihari (Bhojpuri) (bh),Pages,Articles,Humans,7097,2023-08-01
Bihari (Bhojpuri) (bh),Pages,Non-Articles,Bots,1751,2023-08-01
Bihari (Bhojpuri) (bh),Pages,Non-Articles,Humans,52080,2023-08-01
Bihari (Bhojpuri) (bh),Edits,Articles,Bots,53,2023-08-01
Bihari (Bhojpuri) (bh),Edits,Articles,Humans,362,2023-08-01
Bihari (Bhojpuri) (bh),Edits,Non-Articles,Bots,41,2023-08-01
Bihari (Bhojpuri) (bh),Edits,Non-Articles,Humans,392,2023-08-01
Bishnupriya Manipuri (bpy),Pages,Articles,Bots,22935,2023-08-01
Bishnupriya Manipuri (bpy),Pages,Articles,Humans,2235,2023-08-01
Bishnupriya Manipuri (bpy),Pages,Non-Articles,Bots,28754,2023-08-01
Bishnupriya Manipuri (bpy),Pages,Non-Articles,Humans,7736,2023-08-01
Bishnupriya Manipuri (bpy),Edits,Articles,Bots,1,2023-08-01
Bishnupriya Manipuri (bpy),Edits,Articles,Humans,744,2023-08-01
Bishnupriya Manipuri (bpy),Edits,Non-Articles,Bots,4,2023-08-01
Bishnupriya Manipuri (bpy),Edits,Non-Articles,Humans,5,2023-08-01
Bislama (bi),Pages,Articles,Bots,0,2023-08-01
Bislama (bi),Pages,Articles,Humans,1541,2023-08-01
Bislama (bi),Pages,Non-Articles,Bots,246,2023-08-01
Bislama (bi),Pages,Non-Articles,Humans,1176,2023-08-01
Bislama (bi),Edits,Articles,Bots,0,2023-08-01
Bislama (bi),Edits,Articles,Humans,9,2023-08-01
Bislama (bi),Edits,Non-Articles,Bots,2,2023-08-01
Bislama (bi),Edits,Non-Articles,Humans,2,2023-08-01
Bosnian (bs),Pages,Articles,Bots,14247,2023-08-01
Bosnian (bs),Pages,Articles,Humans,77989,2023-08-01
Bosnian (bs),Pages,Non-Articles,Bots,57289,2023-08-01
Bosnian (bs),Pages,Non-Articles,Humans,98550,2023-08-01
Bosnian (bs),Edits,Articles,Bots,795,2023-08-01
Bosnian (bs),Edits,Articles,Humans,2176,2023-08-01
Bosnian (bs),Edits,Non-Articles,Bots,40,2023-08-01
Bosnian (bs),Edits,Non-Articles,Humans,838,2023-08-01
Breton (br),Pages,Articles,Bots,2,2023-08-01
Breton (br),Pages,Articles,Humans,82771,2023-08-01
Breton (br),Pages,Non-Articles,Bots,7421,2023-08-01
Breton (br),Pages,Non-Articles,Humans,37210,2023-08-01
Breton (br),Edits,Articles,Bots,149,2023-08-01
Breton (br),Edits,Articles,Humans,4765,2023-08-01
Breton (br),Edits,Non-Articles,Bots,6,2023-08-01
Breton (br),Edits,Non-Articles,Humans,564,2023-08-01
Buginese (bug),Pages,Articles,Bots,0,2023-08-01
Buginese (bug),Pages,Articles,Humans,15876,2023-08-01
Buginese (bug),Pages,Non-Articles,Bots,432,2023-08-01
Buginese (bug),Pages,Non-Articles,Humans,3202,2023-08-01
Buginese (bug),Edits,Articles,Bots,0,2023-08-01
Buginese (bug),Edits,Articles,Humans,7,2023-08-01
Buginese (bug),Edits,Non-Articles,Bots,3,2023-08-01
Buginese (bug),Edits,Non-Articles,Humans,11,2023-08-01
Bulgarian (bg),Pages,Articles,Bots,35600,2023-08-01
Bulgarian (bg),Pages,Articles,Humans,257239,2023-08-01
Bulgarian (bg),Pages,Non-Articles,Bots,21520,2023-08-01
Bulgarian (bg),Pages,Non-Articles,Humans,199572,2023-08-01
Bulgarian (bg),Edits,Articles,Bots,200,2023-08-01
Bulgarian (bg),Edits,Articles,Humans,30676,2023-08-01
Bulgarian (bg),Edits,Non-Articles,Bots,3132,2023-08-01
Bulgarian (bg),Edits,Non-Articles,Humans,4288,2023-08-01
Burmese (my),Pages,Articles,Bots,68149,2023-08-01
Burmese (my),Pages,Articles,Humans,40885,2023-08-01
Burmese (my),Pages,Non-Articles,Bots,70299,2023-08-01
Burmese (my),Pages,Non-Articles,Humans,37796,2023-08-01
Burmese (my),Edits,Articles,Bots,62,2023-08-01
Burmese (my),Edits,Articles,Humans,1780,2023-08-01
Burmese (my),Edits,Non-Articles,Bots,923,2023-08-01
Burmese (my),Edits,Non-Articles,Humans,742,2023-08-01
Buryat (Russia Buriat) (bxr),Pages,Articles,Bots,0,2023-08-01
Buryat (Russia Buriat) (bxr),Pages,Articles,Humans,2795,2023-08-01
Buryat (Russia Buriat) (bxr),Pages,Non-Articles,Bots,214,2023-08-01
Buryat (Russia Buriat) (bxr),Pages,Non-Articles,Humans,5556,2023-08-01
Buryat (Russia Buriat) (bxr),Edits,Articles,Bots,0,2023-08-01
Buryat (Russia Buriat) (bxr),Edits,Articles,Humans,20,2023-08-01
Buryat (Russia Buriat) (bxr),Edits,Non-Articles,Bots,2,2023-08-01
Buryat (Russia Buriat) (bxr),Edits,Non-Articles,Humans,7,2023-08-01
Cantonese (zh-yue),Pages,Articles,Bots,4,2023-08-01
Cantonese (zh-yue),Pages,Articles,Humans,133517,2023-08-01
Cantonese (zh-yue),Pages,Non-Articles,Bots,12596,2023-08-01
Cantonese (zh-yue),Pages,Non-Articles,Humans,64342,2023-08-01
Cantonese (zh-yue),Edits,Articles,Bots,3381,2023-08-01
Cantonese (zh-yue),Edits,Articles,Humans,9383,2023-08-01
Cantonese (zh-yue),Edits,Non-Articles,Bots,280,2023-08-01
Cantonese (zh-yue),Edits,Non-Articles,Humans,1858,2023-08-01
Catalan (ca),Pages,Articles,Bots,73471,2023-08-01
Catalan (ca),Pages,Articles,Humans,658466,2023-08-01
Catalan (ca),Pages,Non-Articles,Bots,127374,2023-08-01
Catalan (ca),Pages,Non-Articles,Humans,457341,2023-08-01
Catalan (ca),Edits,Articles,Bots,114455,2023-08-01
Catalan (ca),Edits,Articles,Humans,40254,2023-08-01
Catalan (ca),Edits,Non-Articles,Bots,2773,2023-08-01
Catalan (ca),Edits,Non-Articles,Humans,9686,2023-08-01
Cebuano (ceb),Pages,Articles,Bots,6098314,2023-08-01
Cebuano (ceb),Pages,Articles,Humans,25167,2023-08-01
Cebuano (ceb),Pages,Non-Articles,Bots,1063423,2023-08-01
Cebuano (ceb),Pages,Non-Articles,Humans,9736,2023-08-01
Cebuano (ceb),Edits,Articles,Bots,1094,2023-08-01
Cebuano (ceb),Edits,Articles,Humans,2965,2023-08-01
Cebuano (ceb),Edits,Non-Articles,Bots,7,2023-08-01
Cebuano (ceb),Edits,Non-Articles,Humans,375,2023-08-01
Central Bikol (bcl),Pages,Articles,Bots,0,2023-08-01
Central Bikol (bcl),Pages,Articles,Humans,14334,2023-08-01
Central Bikol (bcl),Pages,Non-Articles,Bots,307,2023-08-01
Central Bikol (bcl),Pages,Non-Articles,Humans,15974,2023-08-01
Central Bikol (bcl),Edits,Articles,Bots,15,2023-08-01
Central Bikol (bcl),Edits,Articles,Humans,1922,2023-08-01
Central Bikol (bcl),Edits,Non-Articles,Bots,9,2023-08-01
Central Bikol (bcl),Edits,Non-Articles,Humans,285,2023-08-01
Chamorro (ch),Pages,Articles,Bots,0,2023-08-01
Chamorro (ch),Pages,Articles,Humans,576,2023-08-01
Chamorro (ch),Pages,Non-Articles,Bots,192,2023-08-01
Chamorro (ch),Pages,Non-Articles,Humans,1556,2023-08-01
Chamorro (ch),Edits,Articles,Bots,0,2023-08-01
Chamorro (ch),Edits,Articles,Humans,57,2023-08-01
Chamorro (ch),Edits,Non-Articles,Bots,2,2023-08-01
Chamorro (ch),Edits,Non-Articles,Humans,23,2023-08-01
Chavacano (Zamboanga) (cbk-zam),Pages,Articles,Bots,0,2023-08-01
Chavacano (Zamboanga) (cbk-zam),Pages,Articles,Humans,3279,2023-08-01
Chavacano (Zamboanga) (cbk-zam),Pages,Non-Articles,Bots,250,2023-08-01
Chavacano (Zamboanga) (cbk-zam),Pages,Non-Articles,Humans,3042,2023-08-01
Chavacano (Zamboanga) (cbk-zam),Edits,Articles,Bots,0,2023-08-01
Chavacano (Zamboanga) (cbk-zam),Edits,Articles,Humans,16,2023-08-01
Chavacano (Zamboanga) (cbk-zam),Edits,Non-Articles,Bots,2,2023-08-01
Chavacano (Zamboanga) (cbk-zam),Edits,Non-Articles,Humans,2,2023-08-01
Chechen (ce),Pages,Articles,Bots,542405,2023-08-01
Chechen (ce),Pages,Articles,Humans,58399,2023-08-01
Chechen (ce),Pages,Non-Articles,Bots,542263,2023-08-01
Chechen (ce),Pages,Non-Articles,Humans,34571,2023-08-01
Chechen (ce),Edits,Articles,Bots,3231,2023-08-01
Chechen (ce),Edits,Articles,Humans,3020,2023-08-01
Chechen (ce),Edits,Non-Articles,Bots,31,2023-08-01
Chechen (ce),Edits,Non-Articles,Humans,748,2023-08-01
Cherokee (chr),Pages,Articles,Bots,0,2023-08-01
Cherokee (chr),Pages,Articles,Humans,1123,2023-08-01
Cherokee (chr),Pages,Non-Articles,Bots,269,2023-08-01
Cherokee (chr),Pages,Non-Articles,Humans,1651,2023-08-01
Cherokee (chr),Edits,Articles,Bots,0,2023-08-01
Cherokee (chr),Edits,Articles,Humans,22,2023-08-01
Cherokee (chr),Edits,Non-Articles,Bots,2,2023-08-01
Cherokee (chr),Edits,Non-Articles,Humans,8,2023-08-01
Chewa (ny),Pages,Articles,Bots,0,2023-08-01
Chewa (ny),Pages,Articles,Humans,1136,2023-08-01
Chewa (ny),Pages,Non-Articles,Bots,204,2023-08-01
Chewa (ny),Pages,Non-Articles,Humans,2936,2023-08-01
Chewa (ny),Edits,Articles,Bots,0,2023-08-01
Chewa (ny),Edits,Articles,Humans,7,2023-08-01
Chewa (ny),Edits,Non-Articles,Bots,3,2023-08-01
Chewa (ny),Edits,Non-Articles,Humans,4,2023-08-01
Cheyenne (chy),Pages,Articles,Bots,0,2023-08-01
Cheyenne (chy),Pages,Articles,Humans,801,2023-08-01
Cheyenne (chy),Pages,Non-Articles,Bots,160,2023-08-01
Cheyenne (chy),Pages,Non-Articles,Humans,1066,2023-08-01
Cheyenne (chy),Edits,Articles,Bots,0,2023-08-01
Cheyenne (chy),Edits,Articles,Humans,13,2023-08-01
Cheyenne (chy),Edits,Non-Articles,Bots,2,2023-08-01
Cheyenne (chy),Edits,Non-Articles,Humans,0,2023-08-01
Chinese (zh),Pages,Articles,Bots,159677,2023-08-01
Chinese (zh),Pages,Articles,Humans,1210276,2023-08-01
Chinese (zh),Pages,Non-Articles,Bots,1482671,2023-08-01
Chinese (zh),Pages,Non-Articles,Humans,3218431,2023-08-01
Chinese (zh),Edits,Articles,Bots,26649,2023-08-01
Chinese (zh),Edits,Articles,Humans,286962,2023-08-01
Chinese (zh),Edits,Non-Articles,Bots,22204,2023-08-01
Chinese (zh),Edits,Non-Articles,Humans,89722,2023-08-01
Chuvash (cv),Pages,Articles,Bots,22843,2023-08-01
Chuvash (cv),Pages,Articles,Humans,28736,2023-08-01
